campus_name,adm_date
"Amity University Mumbai","2026-05-04 00:00:00"
"Amity University Lucknow","2026-05-05 00:00:00"
"Amity University Mumbai","2026-05-22 00:00:00"
"Amity University Jaipur","2026-04-21 00:00:00"
"Amity University Gurugram","2026-05-31 00:00:00"
"Amity University Lucknow","2026-05-22 00:00:00"
"Amity University Jaipur","2026-04-16 00:00:00"
"Amity University Gwalior","2026-05-16 00:00:00"
"Amity University Gurugram","2026-05-17 00:00:00"
"Amity University Lucknow","2026-05-27 00:00:00"
"Amity University Raipur","2026-05-05 00:00:00"
"Amity University Mumbai","2026-06-02 00:00:00"
"Amity University Mumbai","2026-05-16 00:00:00"
"Amity University Lucknow","2026-05-21 00:00:00"
"Amity University Lucknow","2026-05-27 00:00:00"
"Amity University Gurugram","2026-04-25 00:00:00"
"Amity University Mumbai","2026-05-04 00:00:00"
"Amity University Raipur","2026-05-07 00:00:00"
"Amity University Mumbai","2026-04-20 00:00:00"
"Amity University Gurugram","2026-06-01 00:00:00"
"Amity University Mumbai","2026-05-22 00:00:00"
"Amity University Jaipur","2026-04-10 00:00:00"
"Amity University Gurugram","2026-05-26 00:00:00"
"Amity University Lucknow","2026-05-25 00:00:00"
"Amity University Mumbai","2026-05-25 00:00:00"
"Amity University Gurugram","2026-04-29 00:00:00"
"Amity University Jaipur","2026-06-02 00:00:00"
"Amity University Mumbai","2026-03-27 00:00:00"
"Amity University Raipur","2026-05-27 00:00:00"
"Amity University Jaipur","2026-04-09 00:00:00"
"Amity University Lucknow","2026-05-27 00:00:00"
"Amity University Lucknow","2026-04-02 00:00:00"
"Amity University Lucknow","2026-04-14 00:00:00"
"Amity University Raipur","2026-05-05 00:00:00"
"Amity University Gurugram","2026-04-10 00:00:00"
"Amity University Mumbai","2026-04-16 00:00:00"
"Amity University Lucknow","2026-05-09 00:00:00"
"Amity University Lucknow","2026-05-11 00:00:00"
"Amity University Jaipur","2026-06-03 00:00:00"
"Amity University Raipur","2026-06-02 00:00:00"
"Amity University Raipur","2026-05-21 00:00:00"
"Amity University Gurugram","2026-05-18 00:00:00"
"Amity University Gurugram","2026-05-15 00:00:00"
"Amity University Lucknow","2026-03-27 00:00:00"
"Amity University Raipur","2026-05-29 00:00:00"
"Amity University Gurugram","2026-05-27 00:00:00"
"Amity University Gurugram","2026-06-02 00:00:00"
"Amity University Raipur","2026-05-30 00:00:00"
"Amity University Mumbai","2026-05-27 00:00:00"
"Amity University Lucknow","2026-05-27 00:00:00"
"Amity University Lucknow","2026-04-30 00:00:00"
"Amity University Raipur","2026-06-01 00:00:00"
"Amity University Lucknow","2026-04-22 00:00:00"
"Amity University Gurugram","2026-04-06 00:00:00"
"Amity University Jaipur","2026-05-21 00:00:00"
"Amity University Bangalore","2026-05-04 00:00:00"
"Amity University Gwalior","2026-05-22 00:00:00"
"Amity University Mumbai","2026-04-27 00:00:00"
"Amity University Gurugram","2026-05-01 00:00:00"
"Amity University Gwalior","2026-05-15 00:00:00"
"Amity University Lucknow","2026-04-03 00:00:00"
"Amity University Lucknow","2026-04-13 00:00:00"
"Amity University Gurugram","2026-05-17 00:00:00"
"Amity University Gurugram","2026-05-25 00:00:00"
"Amity University Jaipur","2026-04-17 00:00:00"
"Amity University Mumbai","2026-05-28 00:00:00"
"Amity University Gurugram","2026-05-06 00:00:00"
"Amity University Mumbai","2026-05-15 00:00:00"
"Amity University Lucknow","2026-05-29 00:00:00"
"Amity University Lucknow","2026-05-02 00:00:00"
"Amity University Mumbai","2026-05-22 00:00:00"
"Amity University Gurugram","2026-04-27 00:00:00"
"Amity University Lucknow","2026-05-19 00:00:00"
"Amity University Lucknow","2026-05-09 00:00:00"
"Amity University Gurugram","2026-05-31 00:00:00"
"Amity University Lucknow","2026-05-09 00:00:00"
"Amity University Raipur","2026-06-02 00:00:00"
"Amity University Jaipur","2026-04-10 00:00:00"
"Amity University Jaipur","2026-05-02 00:00:00"
"Amity University Gurugram","2026-05-20 00:00:00"
"Amity University Mumbai","2026-04-08 00:00:00"
"Amity University Lucknow","2026-04-29 00:00:00"
"Amity University Lucknow","2026-04-28 00:00:00"
"Amity University Gurugram","2026-05-22 00:00:00"
"Amity University Gurugram","2026-04-20 00:00:00"
"Amity University Gwalior","2026-05-20 00:00:00"
"Amity University Mumbai","2026-05-16 00:00:00"
"Amity University Raipur","2026-04-21 00:00:00"
"Amity University Mumbai","2026-04-07 00:00:00"
"Amity University Raipur","2026-05-20 00:00:00"
"Amity University Raipur","2026-06-01 00:00:00"
"Amity University Jaipur","2026-05-13 00:00:00"
"Amity University Bangalore","2026-05-27 00:00:00"
"Amity University Gwalior","2026-05-21 00:00:00"
"Amity University Mumbai","2026-05-16 00:00:00"
